IMG	IMG_X	IMG_Y	X_WGS84	Y_WGS84	Z_HAE	NAME
AK01b_20080811_193452	71.5	1083.5	497790.1	6783149.24	414.9934021	topshelf
AK01b_20080811_193452	440	1105.75	498947.6	6783533.24	327.3576019	nostril
AK01b_20080811_193452	949.75	793.5	508841.6679	6791253.336	1639.603755	P5330
AK01b_20080811_193452	1528.5	801.25	527374.9441	6800629.286	2608.879542	P8510
AK01b_20080811_193452	1716	837.25	527221.2716	6798373.463	2130.337723	P6940
AK01b_20080811_193452	2213.5	810	523517.2864	6790992.455	1944.407462	P6330
AK01b_20080811_193452	2519.5	797	517999.23	6786172.233	1648.747866	P5360
AK01b_20080811_193452	2906.75	760.25	514230.9923	6782628.371	1566.450866	P5090
AK01b_20080811_193452	3100.75	746.75	514353.4451	6781616.346	1590.835162	P5170
AK01b_20080811_193452	1629	1743	495186.1	6778069.24	17.58	transients (snow, glacier)
AK01b_20080811_193452	1287.5	1922.75	494742.1	6777967.24	17.58	transients (snow, glacier)
AK01b_20080811_193452	1800	1186.25	498298.1	6779823.24	179.9819946	transients (snow, glacier)
AK01b_20080922_193508	85.5	751.75	497790.1	6783149.24	414.9934021	topshelf
AK01b_20080922_193508	455	745.75	498947.6	6783533.24	327.3576019	nostril
AK01b_20080922_193508	935.75	390	508841.6679	6791253.336	1639.603755	P5330
AK01b_20080922_193508	1225.75	409.75	526319.5407	6803632.169	2425.997318	P7910
AK01b_20080922_193508	1527.25	355.5	527374.9441	6800629.286	2608.879542	P8510
AK01b_20080922_193508	1715.5	379.5	527221.2716	6798373.463	2130.337723	P6940
AK01b_20080922_193508	2219.75	316.75	523517.2864	6790992.455	1944.407462	P6330
AK01b_20080922_193508	2530.25	282.75	517999.23	6786172.233	1648.747866	P5360
AK01b_20080922_193508	2925	217.75	514230.9923	6782628.371	1566.450866	P5090
AK01b_20080922_193508	3123.5	190.25	514353.4451	6781616.346	1590.835162	P5170
AK01b_20090319_213755	65	751	497790.1	6783149.24	414.9934021	topshelf
AK01b_20090319_213755	431	740	498947.6	6783533.24	327.3576019	nostril
AK01b_20090319_213755	911	381	508841.6679	6791253.336	1639.603755	P5330
AK01b_20090319_213755	1205	399	526319.5407	6803632.169	2425.997318	P7910
AK01b_20090319_213755	1358	385	528944.9755	6803596.145	2529.325774	P8249
AK01b_20090319_213755	1494	349	527374.9441	6800629.286	2608.879542	P8510
AK01b_20090319_213755	1694	369	527221.2716	6798373.463	2130.337723	P6940
AK01b_20090319_213755	2196	305	523517.2864	6790992.455	1944.407462	P6330
AK01b_20090319_213755	2506	271	517999.23	6786172.233	1648.747866	P5360
AK01b_20090319_213755	2902	206	514230.9923	6782628.371	1566.450866	P5090
AK01b_20090319_213755	3097	179	514353.4451	6781616.346	1590.835162	P5170
AK01b_20090502_193824	78	745	497790.1	6783149.24	414.9934021	topshelf
AK01b_20090502_193824	450	739	498947.6	6783533.24	327.3576019	nostril
AK01b_20090502_193824	925	376	508841.6679	6791253.336	1639.603755	P5330
AK01b_20090502_193824	1219	396	526319.5407	6803632.169	2425.997318	P7910
AK01b_20090502_193824	1374	380	528944.9755	6803596.145	2529.325774	P8249
AK01b_20090502_193824	1512	341	527374.9441	6800629.286	2608.879542	P8510
AK01b_20090502_193824	1707	364	527221.2716	6798373.463	2130.337723	P6940
AK01b_20090502_193824	2212	299	523517.2864	6790992.455	1944.407462	P6330
AK01b_20090502_193824	2522	262	517999.23	6786172.233	1648.747866	P5360
AK01b_20090502_193824	2917	195	514230.9923	6782628.371	1566.450866	P5090
AK01b_20090502_193824	3117	168	514353.4451	6781616.346	1590.835162	P5170
AK01b_20090827_202939	89.25	747.25	497790.1	6783149.24	414.9934021	topshelf
AK01b_20090827_202939	459.5	743	498947.6	6783533.24	327.3576019	nostril
AK01b_20090827_202939	940.5	386.25	508841.6679	6791253.336	1639.603755	P5330
AK01b_20090827_202939	1386.5	391.75	528944.9755	6803596.145	2529.325774	P8249
AK01b_20090827_202939	1522.75	355	527374.9441	6800629.286	2608.879542	P8510
AK01b_20090827_202939	1720.25	377.25	527221.2716	6798373.463	2130.337723	P6940
AK01b_20090827_202939	2224.5	316	523517.2864	6790992.455	1944.407462	P6330
AK01b_20090827_202939	2535.25	282.25	517999.23	6786172.233	1648.747866	P5360
AK01b_20090827_202939	2930	218.25	514230.9923	6782628.371	1566.450866	P5090
AK01b_20090827_202939	3128.75	190.75	514353.4451	6781616.346	1590.835162	P5170
AK01b_20090827_202939	1835.75	755.5	498242.72	6779772.51	173.8690033	transients (snow, glacier)
